% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
187,1.21E-19,1.65E-19,2.33E-19,3.22E-19,4.84E-19
188,1.09E-19,1.57E-19,2.18E-19,3.08E-19,4.58E-19
189,1.01E-19,1.39E-19,1.89E-19,2.74E-19,4.14E-19
190,9.49E-20,1.31E-19,1.87E-19,2.56E-19,3.78E-19
191,8.40E-20,1.18E-19,1.60E-19,2.27E-19,3.37E-19
192,7.29E-20,1.01E-19,1.43E-19,1.95E-19,2.96E-19
193,6.32E-20,8.67E-20,1.21E-19,1.64E-19,2.54E-19
194,5.33E-20,7.49E-20,1.03E-19,1.40E-19,2.17E-19
195,4.28E-20,6.06E-20,8.73E-20,1.16E-19,1.76E-19
196,3.16E-20,4.63E-20,6.46E-20,9.09E-20,1.37E-19
197,2.32E-20,3.22E-20,4.39E-20,6.50E-20,9.67E-20
198,1.62E-20,2.23E-20,3.06E-20,4.51E-20,6.64E-20
199,7.85E-21,1.09E-20,1.57E-20,2.24E-20,3.28E-20
200,1.11E-24,1.77E-24,3.49E-24,6.53E-24,1.21E-23
